route_id_x;route_long_name_x;stop_id;stop_name_x;OperatorName_x;ArRTown;Pointgeo_x;Nom_commune_x;ArRAccessibility;latitude_x;longitude_x;stop_lon;stop_lat;Nom_commune_y;Geo Point;Geo Shape;nom_long;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;picto ligne
IDFM:C01119;87;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C01119;87;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C01119;87;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C01412;N35;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C01412;N35;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C01412;N35;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C02251;77;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C02251;77;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C02251;77;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;True;48.83344753324636;2.3950191347521392;2.3950191347521392;48.83344753324636;Paris;;;;;;;;;;;;;
IDFM:C01120;88;IDFM:37266;Hôpital Européen Georges Pompidou;RATP;Paris 15e;48.83967375504146,2.272745012596824;Paris;True;48.83967375504146;2.272745012596824;2.272745012596824;48.83967375504146;Paris;;;;;;;;;;;;;
IDFM:C01120;88;IDFM:37266;Hôpital Européen Georges Pompidou;RATP;Paris 15e;48.83967375504146,2.272745012596824;Paris;True;48.83967375504146;2.272745012596824;2.272745012596824;48.83967375504146;Paris;;;;;;;;;;;;;
IDFM:C01085;42;IDFM:37266;Hôpital Européen Georges Pompidou;RATP;Paris 15e;48.83967375504146,2.272745012596824;Paris;True;48.83967375504146;2.272745012596824;2.272745012596824;48.83967375504146;Paris;;;;;;;;;;;;;
IDFM:C01085;42;IDFM:37266;Hôpital Européen Georges Pompidou;RATP;Paris 15e;48.83967375504146,2.272745012596824;Paris;True;48.83967375504146;2.272745012596824;2.272745012596824;48.83967375504146;Paris;;;;;;;;;;;;;
IDFM:C01120;88;IDFM:463786;Porte Molitor;RATP;Paris 16e;48.84570390519947,2.2588026170122513;Paris;True;48.84570390519947;2.258802617012252;2.258802617012252;48.84570390519947;Paris;;;;;;;;;;;;;
IDFM:C01121;89;IDFM:28711;Emile Durkheim;RATP;Paris 13e;48.831166208274745,2.376355380015056;Paris;True;48.831166208274745;2.376355380015056;2.376355380015056;48.831166208274745;Paris;;;;;;;;;;;;;
IDFM:C01121;89;IDFM:28711;Emile Durkheim;RATP;Paris 13e;48.831166208274745,2.376355380015056;Paris;True;48.831166208274745;2.376355380015056;2.376355380015056;48.831166208274745;Paris;;;;;;;;;;;;;
IDFM:C01288;325;IDFM:28711;Emile Durkheim;RATP;Paris 13e;48.831166208274745,2.376355380015056;Paris;True;48.831166208274745;2.376355380015056;2.376355380015056;48.831166208274745;Paris;;;;;;;;;;;;;
IDFM:C01288;325;IDFM:28711;Emile Durkheim;RATP;Paris 13e;48.831166208274745,2.376355380015056;Paris;True;48.831166208274745;2.376355380015056;2.376355380015056;48.831166208274745;Paris;;;;;;;;;;;;;
IDFM:C01121;89;IDFM:479696;Rennes - Raspail;RATP;Paris 6e;48.84752660083171,2.3283562904119757;Paris;True;48.84752660083171;2.328356290411976;2.328356290411976;48.84752660083171;Paris;;;;;;;;;;;;;
IDFM:C01122;91;IDFM:28434;Campagne Première;RATP;Paris 14e;48.84040931537586,2.3341978028221413;Paris;True;48.84040931537586;2.3341978028221413;2.3341978028221413;48.84040931537586;Paris;;;;;;;;;;;;;
IDFM:C01122;91;IDFM:28434;Campagne Première;RATP;Paris 14e;48.84040931537586,2.3341978028221413;Paris;True;48.84040931537586;2.3341978028221413;2.3341978028221413;48.84040931537586;Paris;;;;;;;;;;;;;
IDFM:C01122;91;IDFM:28434;Campagne Première;RATP;Paris 14e;48.84040931537586,2.3341978028221413;Paris;True;48.84040931537586;2.3341978028221413;2.3341978028221413;48.84040931537586;Paris;;;;;;;;;;;;;
IDFM:C01414;N02;IDFM:28434;Campagne Première;RATP;Paris 14e;48.84040931537586,2.3341978028221413;Paris;True;48.84040931537586;2.3341978028221413;2.3341978028221413;48.84040931537586;Paris;;;;;;;;;;;;;
