TYPE,ADRESSE,ARRONDISSEMENT,HORAIRE,geo_shape,geo
SANISETTE,11  AVENUE MAURICE D OCAGNE,PARIS 14EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.311279224235711, 48.82498851904087]], ""type"": ""MultiPoint""}","48.82498851904087, 2.311279224235711"
SANISETTE,SQUARE ALESIA RIDER,PARIS 14EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3133813892291073, 48.83204937537727]], ""type"": ""MultiPoint""}","48.83204937537727, 2.3133813892291073"
TOILETTES,JARDIN D'EOLE - ESPLANADE,PARIS 18EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.365850915210522, 48.88603640726143]], ""type"": ""MultiPoint""}","48.88603640726143, 2.365850915210522"
TOILETTES,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,PARIS 18EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.3464251036281003, 48.89324524370296]], ""type"": ""MultiPoint""}","48.89324524370296, 2.3464251036281003"
TOILETTES,SQUARE MONSEIGNEUR MAILLET,PARIS 19EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.3931583796208193, 48.87669393738172]], ""type"": ""MultiPoint""}","48.87669393738172, 2.3931583796208193"
TOILETTES,SQUARE CLAUDE BERNARD,PARIS 19EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.3744646190808827, 48.89925173270559]], ""type"": ""MultiPoint""}","48.89925173270559, 2.3744646190808827"
SANISETTE,161  BOULEVARD BRUNE,PARIS 14EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3211169226991353, 48.82434142990773]], ""type"": ""MultiPoint""}","48.82434142990773, 2.3211169226991353"
SANISETTE,1 AVENUE DE PARIS,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.441147900024625, 48.844222598997455]], ""type"": ""MultiPoint""}","48.844222598997455, 2.441147900024625"
SANISETTE,135  AVENUE DE CLICHY,PARIS 17EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3196701030695492, 48.890807352500616]], ""type"": ""MultiPoint""}","48.890807352500616, 2.3196701030695492"
SANISETTE,3  RUE DE LA GOUTTE D OR,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.35486399614496, 48.8850281422061]], ""type"": ""MultiPoint""}","48.8850281422061, 2.35486399614496"
SANISETTE,opposé au 10 RUE DE L EVANGILE,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3615481039703283, 48.89207950084547]], ""type"": ""MultiPoint""}","48.89207950084547, 2.3615481039703283"
SANISETTE,16  AVENUE DE SAINT OUEN,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3259361111673895, 48.88822450694433]], ""type"": ""MultiPoint""}","48.88822450694433, 2.3259361111673895"
SANISETTE,face au 3 PLACE SAINT PIERRE,PARIS 18EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.344662211897333, 48.88449210942009]], ""type"": ""MultiPoint""}","48.88449210942009, 2.344662211897333"
SANISETTE,face au 34 BOULEVARD DE CLICHY,PARIS 18EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3367738949823313, 48.882567344768105]], ""type"": ""MultiPoint""}","48.882567344768105, 2.3367738949823313"
SANISETTE,BOULEVARD D ALGERIE,PARIS 19EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.400408793867481, 48.88068024151084]], ""type"": ""MultiPoint""}","48.88068024151084, 2.400408793867481"
SANISETTE,213  AVENUE JEAN JAURES,PARIS 19EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.393095759882929, 48.88895144225748]], ""type"": ""MultiPoint""}","48.88895144225748, 2.393095759882929"
SANISETTE,213  RUE DE BELLEVILLE,PARIS 19EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3947766164571163, 48.87544598661788]], ""type"": ""MultiPoint""}","48.87544598661788, 2.3947766164571163"
SANISETTE,24  RUE SAINT FARGEAU,PARIS 20EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.402140186133056, 48.87155416336665]], ""type"": ""MultiPoint""}","48.87155416336665, 2.402140186133056"
SANISETTE,face au 3 RUE DES DOCTEURS DEJERINE,PARIS 20EME ARRONDISSEMENT,6 h - 1 h,"{""coordinates"": [[2.4122473739139263, 48.854455026112085]], ""type"": ""MultiPoint""}","48.854455026112085, 2.4122473739139263"
SANISETTE,BOULEVARD DE SEBASTOPOL,PARIS 2EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3516112635893514, 48.86482801626369]], ""type"": ""MultiPoint""}","48.86482801626369, 2.3516112635893514"
SANISETTE,37  BOULEVARD DES CAPUCINES,PARIS 2EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3293453765685297, 48.87005823382521]], ""type"": ""MultiPoint""}","48.87005823382521, 2.3293453765685297"
SANISETTE,face au 171 RUE DU TEMPLE,PARIS 3EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3601328610084122, 48.8649756672941]], ""type"": ""MultiPoint""}","48.8649756672941, 2.3601328610084122"
SANISETTE,RUE CUVIER,PARIS 5EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3603946971559577, 48.844396602628855]], ""type"": ""MultiPoint""}","48.844396602628855, 2.3603946971559577"
