Type Objet,Commune,geo_shape,geo,Adresse
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.4085325554423673, 48.87864849911925], ""type"": ""Point""}","48.87864849911925, 2.4085325554423673",AVENUE RENE FONCK
FONTAINE_BOIS,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.32694438476046, 48.83944882257557], ""type"": ""Point""}","48.83944882257557, 2.32694438476046",ALLEE LENOIR
FONTAINE_BOIS,PARIS 17EME ARRONDISSEMENT,"{""coordinates"": [2.3112711944333335, 48.8926454327821], ""type"": ""Point""}","48.8926454327821, 2.3112711944333335",ALLEE COLETTE HEILBRONNER
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.4004307034358754, 48.88099007769806], ""type"": ""Point""}","48.88099007769806, 2.4004307034358754",SQUARE DE LA BUTTE DU CHAPEAU ROUGE
FONTAINE_BOIS,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.3137332301107745, 48.82736018908656], ""type"": ""Point""}","48.82736018908656, 2.3137332301107745",RUE DES ARBUSTES
FONTAINE_TOTEM,PARIS 4EME ARRONDISSEMENT,"{""coordinates"": [2.3528341943546636, 48.85496814185119], ""type"": ""Point""}","48.85496814185119, 2.3528341943546636",18  QUAI DE L HOTEL DE VILLE
FONTNE_WALLACE,PARIS 9EME ARRONDISSEMENT,"{""coordinates"": [2.3464577184890882, 48.88328733424056], ""type"": ""Point""}","48.88328733424056, 2.3464577184890882",42F  BOULEVARD MARGUERITE DE ROCHECHOUART
FONTNE_WALLACE,PARIS 2EME ARRONDISSEMENT,"{""coordinates"": [2.3501972199276806, 48.86840080884659], ""type"": ""Point""}","48.86840080884659, 2.3501972199276806",6F  RUE SAINT SPIRE
FONTNE_WALLACE,PARIS 8EME ARRONDISSEMENT,"{""coordinates"": [2.2964496430400216, 48.872488004185314], ""type"": ""Point""}","48.872488004185314, 2.2964496430400216",82  AVENUE MARCEAU
FONTNE_WALLACE,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.349572926316227, 48.822096409595254], ""type"": ""Point""}","48.822096409595254, 2.349572926316227",1 PLACE PIERRE RIBOULET
FONTNE_WALLACE,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.3315262510706147, 48.82378271809491], ""type"": ""Point""}","48.82378271809491, 2.3315262510706147",PLACE JULES HENAFFE
FONTNE_WALLACE,PARIS 5EME ARRONDISSEMENT,"{""coordinates"": [2.358193001725715, 48.84007576534075], ""type"": ""Point""}","48.84007576534075, 2.358193001725715",36  RUE POLIVEAU
FTNE_PETILLANTE,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.340761037803811, 48.82126428401161], ""type"": ""Point""}","48.82126428401161, 2.340761037803811",47 RUE GAZAN
FTNE_PETILLANTE,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.3827142502428877, 48.88235616705019], ""type"": ""Point""}","48.88235616705019, 2.3827142502428877",RUE MANIN
FTNE_POING_EAU,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.4100925923034953, 48.85487034359723], ""type"": ""Point""}","48.85487034359723, 2.4100925923034953",11F RUE DES REGLISES
BORNE_FONTAINE,PARIS 15EME ARRONDISSEMENT,"{""coordinates"": [2.2963828470256518, 48.83757528217638], ""type"": ""Point""}","48.83757528217638, 2.2963828470256518",31 RUE ALAIN CHARTIER
BORNE_FONTAINE,PARIS 3EME ARRONDISSEMENT,"{""coordinates"": [2.357043603612261, 48.861760609493395], ""type"": ""Point""}","48.861760609493395, 2.357043603612261",12F  RUE DES HAUDRIETTES
FONTAINE_2EN1,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.326489012677048, 48.82763896110804], ""type"": ""Point""}","48.82763896110804, 2.326489012677048",PLACE VICTOR ET HELENE BASCH
FONTAINE_2EN1,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.3320552521458384, 48.88396371425854], ""type"": ""Point""}","48.88396371425854, 2.3320552521458384",F92  BOULEVARD DE CLICHY
FONTAINE_2EN1,PARIS 17EME ARRONDISSEMENT,"{""coordinates"": [2.3103142104252012, 48.88821318149827], ""type"": ""Point""}","48.88821318149827, 2.3103142104252012",2  BOULEVARD PEREIRE
FONTAINE_ARCEAU,PARIS 4EME ARRONDISSEMENT,"{""coordinates"": [2.356399675537129, 48.85405724331216], ""type"": ""Point""}","48.85405724331216, 2.356399675537129",RUE DE L HOTEL DE VILLE
FONTAINE_ARCEAU,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.3980541075753465, 48.84523632177079], ""type"": ""Point""}","48.84523632177079, 2.3980541075753465",16 AVENUE DE SAINT MANDE
FONTAINE_ARCEAU,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.395434217461298, 48.87753303181389], ""type"": ""Point""}","48.87753303181389, 2.395434217461298",11F RUE LOUISE THULIEZ
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.4078157791769907, 48.83225419322431], ""type"": ""Point""}","48.83225419322431, 2.4078157791769907",ROUTE CEINTURE LAC DAUMESNIL
FONTAINE_BOIS,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.312931342954177, 48.83194858815444], ""type"": ""Point""}","48.83194858815444, 2.312931342954177",RUE D ALESIA
FONTAINE_BOIS,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.2470449051320522, 48.86876057923968], ""type"": ""Point""}","48.86876057923968, 2.2470449051320522",PARC DE BAGATELLE
FONTAINE_BOIS,PARIS 6EME ARRONDISSEMENT,"{""coordinates"": [2.3274303675678825, 48.84328350019945], ""type"": ""Point""}","48.84328350019945, 2.3274303675678825",91B RUE DU MONTPARNASSE
FONTAINE_BOIS,PARIS 7EME ARRONDISSEMENT,"{""coordinates"": [2.3255861522793193, 48.85138175552386], ""type"": ""Point""}","48.85138175552386, 2.3255861522793193",SQUARE BOUCICAUT
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.350377427080091, 48.83254628870409], ""type"": ""Point""}","48.83254628870409, 2.350377427080091",39F RUE DE CROULEBARBE
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.3591660059332527, 48.818671246870096], ""type"": ""Point""}","48.818671246870096, 2.3591660059332527",SQUARE ROBERT BAJAC
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.3639634493477844, 48.82307273779204], ""type"": ""Point""}","48.82307273779204, 2.3639634493477844",RUE DE LA POINTE D IVRY
FONTAINE_BOIS,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.3437538543112426, 48.88738454880009], ""type"": ""Point""}","48.88738454880009, 2.3437538543112426",33F RUE DE LA BONNE
FONTAINE_BOIS,PARIS 10EME ARRONDISSEMENT,"{""coordinates"": [2.3666982587922383, 48.86930075918309], ""type"": ""Point""}","48.86930075918309, 2.3666982587922383",SQUARE FREDERICK LEMAITRE
FONTAINE_BOIS,PARIS 17EME ARRONDISSEMENT,"{""coordinates"": [2.316986765312415, 48.886946030369096], ""type"": ""Point""}","48.886946030369096, 2.316986765312415",SQUARE DES BATIGNOLLES
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.3886392605248923, 48.842413150032876], ""type"": ""Point""}","48.842413150032876, 2.3886392605248923",10F  AVENUE DAUMESNIL
FONTAINE_BOIS,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.2972442971251334, 48.86515239955192], ""type"": ""Point""}","48.86515239955192, 2.2972442971251334",SQUARE BRIGNOLE GALLIERA
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.4013364936211223, 48.83629462709572], ""type"": ""Point""}","48.83629462709572, 2.4013364936211223",54  RUE DE FECAMP
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.3789484448824894, 48.844384980675024], ""type"": ""Point""}","48.844384980675024, 2.3789484448824894",13F  PASSAGE GATBOIS
FONTAINE_BOIS,PARIS 11EME ARRONDISSEMENT,"{""coordinates"": [2.3811640923188855, 48.865410708691336], ""type"": ""Point""}","48.865410708691336, 2.3811640923188855",11F AVENUE JEAN AICARD
FONTAINE_BOIS,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.32031627211418, 48.83134212164937], ""type"": ""Point""}","48.83134212164937, 2.32031627211418",RUE DU MOULIN VERT
FONTAINE_BOIS,PARIS 4EME ARRONDISSEMENT,"{""coordinates"": [2.349256172343251, 48.85772557490932], ""type"": ""Point""}","48.85772557490932, 2.349256172343251",SQUARE DE LA TOUR SAINT JACQUES
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.3822481811569705, 48.88511107882136], ""type"": ""Point""}","48.88511107882136, 2.3822481811569705",25 RUE PETIT
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.409137497611917, 48.85259274487465], ""type"": ""Point""}","48.85259274487465, 2.409137497611917",JARDIN DE LA GARE DE CHARONNE
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.377402934323713, 48.885598670921055], ""type"": ""Point""}","48.885598670921055, 2.377402934323713",SQUARE MARCEL MOULOUDJI
FONTAINE_BOIS,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.23331228011322, 48.8640002902486], ""type"": ""Point""}","48.8640002902486, 2.23331228011322",ROUTE DES TRIBUNES
FONTAINE_BOIS,PARIS 17EME ARRONDISSEMENT,"{""coordinates"": [2.313928233834198, 48.897722528636706], ""type"": ""Point""}","48.897722528636706, 2.313928233834198",AVENUE TRANSVERSALE
FONTAINE_BOIS,PARIS 17EME ARRONDISSEMENT,"{""coordinates"": [2.319437895789765, 48.89912787178849], ""type"": ""Point""}","48.89912787178849, 2.319437895789765",AVENUE CIMETIERE BATIGNOLLES
FONTAINE_BOIS,PARIS 17EME ARRONDISSEMENT,"{""coordinates"": [2.3152629575388297, 48.89859957052971], ""type"": ""Point""}","48.89859957052971, 2.3152629575388297",BOULEVARD PERIPHERIQUE
FONTAINE_BOIS,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.328849546077344, 48.83596188054759], ""type"": ""Point""}","48.83596188054759, 2.328849546077344",AVENUE THIERRY
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.394640244542067, 48.86333166004404], ""type"": ""Point""}","48.86333166004404, 2.394640244542067",56 face  RUE DES RONDEAUX
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.395640261268051, 48.86019715523068], ""type"": ""Point""}","48.86019715523068, 2.395640261268051",AVENUE TRANSVERSALE 1
