route_id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;OperatorName;Pointgeo;Nom_commune
IDFM:C01122;91;IDFM:22494;Gare de Lyon - Diderot;2.3714670234661264;48.8456743421324;RATP;48.8456743421324,2.3714670234661264;Paris
IDFM:C02590;Bus de Substitution du métro 7B;IDFM:24856;Rhin et Danube;2.393596723247652;48.88194208743251;RATP;48.88194208743251,2.3935967232476516;Paris
IDFM:C02590;Bus de Substitution du métro 7B;IDFM:463590;Buttes Chaumont;2.3814508727646464;48.87818370797309;RATP;48.87818370797309,2.3814508727646464;Paris
IDFM:C02590;Bus de Substitution du métro 7B;IDFM:491128;Bolivar;2.373699057488789;48.88104824167164;RATP;48.881048241671635,2.3736990574887895;Paris
IDFM:C02590;Bus de Substitution du métro 7B;IDFM:39885;Jaurès - Stalingrad;2.369496184298672;48.88242913465493;RATP;48.882429134654934,2.369496184298672;Paris
IDFM:C02659;N123;IDFM:26619;Saint-Michel - Saint-Germain;2.3435688577705305;48.85254850642662;Transdev Cœur Essonne;48.85254850642662,2.3435688577705305;Paris
IDFM:C02659;N123;IDFM:490527;Luxembourg;2.340354380570977;48.84594752577488;Transdev Cœur Essonne;48.84594752577488,2.340354380570977;Paris
IDFM:C02494;Bus de substitution du métro 14;IDFM:37714;Olympiades;2.366992317018834;48.82703387034927;RATP;48.82703387034927,2.366992317018834;Paris
IDFM:C02494;Bus de substitution du métro 14;IDFM:41430;Ministère de l'Economie et des Finances / Gare de Lyon;2.378308023105971;48.84106039885843;RATP;48.84106039885843,2.378308023105971;Paris
IDFM:C02514;Bus de substitution du métro 4;IDFM:8390;Porte de Clignancourt;2.3450733673336184;48.89765849017736;RATP;48.89765849017736,2.3450733673336184;Paris
IDFM:C02514;Bus de substitution du métro 4;IDFM:36543;Marcadet - Poissonniers;2.349493650625328;48.89103660200838;RATP;48.89103660200838,2.3494936506253277;Paris
IDFM:C02514;Bus de substitution du métro 4;IDFM:22808;Barbès - Rochechouart;2.349318600223562;48.88430869145551;RATP;48.88430869145551,2.349318600223562;Paris
IDFM:C01152;123;IDFM:39564;Porte Molitor;2.255399222654506;48.845475915999565;RATP;48.845475915999565,2.255399222654506;Paris
IDFM:C01152;123;IDFM:28126;Rue des Pins;2.246866759693277;48.84657369990466;RATP;48.84657369990466,2.2468667596932774;Paris
IDFM:C01152;123;IDFM:19772;Gambetta;2.2414415686053824;48.84856300627225;RATP;48.84856300627225,2.2414415686053824;Paris
IDFM:C01154;125;IDFM:24447;Chaperon Vert - Lénine;2.334104189934823;48.81680918289508;RATP;48.81680918289508,2.334104189934823;Paris
IDFM:C01155;126;IDFM:27216;Cimetière de Montrouge;2.3213975216821825;48.82100981698627;RATP;48.82100981698627,2.3213975216821825;Paris
IDFM:C01157;128;IDFM:414775;Porte d'Orléans;2.324643040010575;48.82175669100755;RATP;48.82175669100755,2.324643040010575;Paris
IDFM:C01157;128;IDFM:22330;Porte d'Orléans;2.3241190968816445;48.8222483906474;RATP;48.822248390647395,2.3241190968816445;Paris
IDFM:C01160;132;IDFM:37405;Regnault;2.376080432617319;48.82454539532403;RATP;48.82454539532403,2.376080432617319;Paris
IDFM:C01163;137;IDFM:427874;Porte de Clignancourt;2.3433904236446264;48.8980719545686;RATP;48.8980719545686,2.3433904236446264;Paris
