Geo Point;Geo Shape;nom_long;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;picto ligne;latitude;longitude
48.89767181948477,2.3298303344938858;"{""coordinates"": [2.329830334493886, 48.89767181948477], ""type"": ""Point""}";Porte de Saint-Ouen;TRAM 3b;3B;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987;48.89767181948477;2.3298303344938858
48.84038874809587,2.3799112714543984;"{""coordinates"": [2.379911271454398, 48.84038874809587], ""type"": ""Point""}";Bercy;METRO 6;6;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;48.84038874809587;2.3799112714543984
48.84066322929957,2.3263846107928465;"{""coordinates"": [2.326384610792847, 48.84066322929957], ""type"": ""Point""}";Edgar Quinet;METRO 6;6;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;48.84066322929957;2.3263846107928465
48.80335523705089,2.4455741010301444;"{""coordinates"": [2.445574101030144, 48.80335523705089], ""type"": ""Point""}";Maisons-Alfort-Les Juilliottes;METRO 8;8;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;48.80335523705089;2.4455741010301444
48.88956082831538,2.3151768973047844;"{""coordinates"": [2.315176897304784, 48.88956082831538], ""type"": ""Point""}";Pont Cardinet;METRO 14;14;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;48.88956082831538;2.3151768973047844
48.8760012915015,2.2259590951448796;"{""coordinates"": [2.22595909514488, 48.8760012915015], ""type"": ""Point""}";Belvédère;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;48.8760012915015;2.22595909514488
48.907272587063,2.5165098933946153;"{""coordinates"": [2.516509893394615, 48.907272587063], ""type"": ""Point""}";Gargan;TRAM 4;4;TRAMWAY;0;0;0;0;0;SNCF;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;48.907272587063;2.5165098933946157
48.926503937809976,2.5191194854240337;"{""coordinates"": [2.519119485424034, 48.926503937809976], ""type"": ""Point""}";Freinville-Sevran;TRAM 4;4;TRAMWAY;0;0;0;0;0;SNCF;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;48.926503937809976;2.5191194854240337
48.93859447585233,2.3558452667806034;"{""coordinates"": [2.355845266780603, 48.93859447585233], ""type"": ""Point""}";Marché de Saint-Denis;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;48.93859447585233;2.355845266780604
48.89259978014814,2.499757185239508;"{""coordinates"": [2.499757185239508, 48.89259978014814], ""type"": ""Point""}";Les Coquetiers;TRAM 4;4;TRAMWAY;0;0;0;0;0;SNCF;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;48.89259978014814;2.499757185239508
48.85747140891036,2.220603560028727;"{""coordinates"": [2.220603560028727, 48.85747140891036], ""type"": ""Point""}";Les Coteaux;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;48.85747140891036;2.220603560028727
48.90693183213432,2.438624497227672;"{""coordinates"": [2.438624497227672, 48.90693183213432], ""type"": ""Point""}";Libération;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;48.90693183213432;2.438624497227672
